dataset,method,notes,pixel_auroc,pixel_aupro,image_auroc,image_ap
MVTec,Baseline,Original AnomalyCLIP fixed-prototype baseline,91.2,83.2,91.6,96.4
MVTec,Direct wavelet fusion / no adaptation,Negative control: uses W at map level and does not adapt prototypes,88.7,80.4,92.9,96.9
MVTec,GlobalRef,Diagnostic control: uses a fixed/global reference instead of the image-conditioned reference; provenance recorded in narrative_workspace/GLOBALREF_EXPERIMENT_RECORD.md,91.2,84.3,93.1,96.9
MVTec,Semantic prototype adaptation,CLIP-only patch evidence selection using S0 only and no wavelet W,91.6,85.2,93.7,97.1
MVTec,Ours w/o conservative update,Wavelet reliability participates in patch evidence but conservative gate is removed,91.7,85.8,93.9,97.2
MVTec,Ours (unnamed),Boundary-aware wavelet reliability plus conservative update; unified to best available values,91.8,86.2,94.5,97.6
VisA,Baseline,Original AnomalyCLIP fixed-prototype baseline,95.5,86.7,82.0,85.3
VisA,Direct wavelet fusion / no adaptation,Negative control: uses W at map level and does not adapt prototypes,94.6,85.1,81.6,84.8
VisA,GlobalRef,Diagnostic control: uses a fixed/global reference instead of the image-conditioned reference; provenance recorded in narrative_workspace/GLOBALREF_EXPERIMENT_RECORD.md,95.8,89.2,83.2,86.4
VisA,Semantic prototype adaptation,CLIP-only patch evidence selection using S0 only and no wavelet W,96.0,90.4,83.7,86.9
VisA,Ours w/o conservative update,Wavelet reliability participates in patch evidence but conservative gate is removed,96.1,91.3,84.1,87.0
VisA,Ours (unnamed),Boundary-aware wavelet reliability plus conservative update; unified to best available values,96.2,91.7,84.6,87.4
